aircraft_type,manufacturer,manufacture_year,total_flight_hours,total_cycles,engine_type,engine_hours_since_overhaul,engine_cycles_since_overhaul,airframe_check_status,maintenance_program,lease_status,operator_region,winglets_installed,avionics_upgrade,damage_history,paint_condition,seat_count,airworthiness_directives_open,last_major_check_months_ago,market_demand_index,fuel_burn_kg_per_hr,broker_asking_price_usd,recent_comparable_sale_price_usd,appraised_fair_market_value_usd
A320neo,Airbus,2008,"36,692 hrs","23,711 cycles",PW1100G,"1,386 hrs","1,017 cycles",Fresh C-Check,OEM Managed,Owned,Africa,No,No,Minor,Good,180 seats,1 ADs,6,61.6,"2,439 kg/hr",24420000.0,20400000.0,19593000.0
A350-900,AIRBUS,2021,"8,175 hrs","5,271 cycles",Trent XWB,"5,638 hrs","2,708 cycles",Fresh C-Check,MSG-3,Owned,Middle East,No,No,None,Good,325 seats,0 ADs,13,87.9,"2,359 kg/hr",151894000.0,134443000.0,133891000.0
A320-200,Airbus,2010,"36,760 hrs","18,897 cycles",CFM56-5B,"4,375 hrs","2,026 cycles",D-Check Due,MSG-3,Off Lease,Africa,Yes,Yes,None,Good,180 seats,1 ADs,39,75.9,"3,318 kg/hr",20799000.0,17921000.0,17772000.0
E175,Embraer,2014,"35,879 hrs","23,605 cycles",CF34-8E,463 hrs,298 cycles,Fresh C-Check,MSG-3,On Lease,Middle East,Yes,Yes,None,Excellent,76 seats,0 ADs,39,92.5,"2,369 kg/hr",20693000.0,20251000.0,22004000.0
737-800,BOEING,2009,"56,046 hrs","26,400 cycles",CFM56-7B,"6,374 hrs","2,946 cycles",C-Check Due,MSG-3,On Lease,North America,No,Yes,None,Good,189 seats,1 ADs,42,70.1,"3,658 kg/hr",18594000.0,15262000.0,16042000.0
777-300ER,Boeing,2022,"9,503 hrs","8,250 cycles",GE90-115B,"2,697 hrs","2,047 cycles",D-Check Due,MSG-3,On Lease,Europe,Yes,No,None,Good,396 seats,1 ADs,14,7.1,"3,602 kg/hr",98575000.0,81570000.0,86645000.0
A320neo,Airbus,2002,"52,648 hrs","23,556 cycles",LEAP-1A,"6,875 hrs","3,544 cycles",C-Check Due,OEM Managed,On Lease,Europe,Yes,Yes,None,Good,180 seats,1 ADs,28,29.8,"2,955 kg/hr",11393000.0,11761000.0,12747000.0
787-9,boeing,2009,"54,113 hrs","38,445 cycles",Trent 1000,"1,276 hrs",606 cycles,D-Check Due,MSG-3,On Lease,Asia-Pacific,Yes,Yes,None,Fair,296 seats,1 ADs,53,51.5,"2,783 kg/hr",47698000.0,38190000.0,38046000.0
A320neo,Airbus,1999,"67,134 hrs","32,409 cycles",PW1100G,"5,150 hrs","2,376 cycles",C-Check Due,MSG-3,Off Lease,Middle East,No,No,None,Excellent,180 seats,1 ADs,48,77.2,"2,756 kg/hr",11570000.0,10679000.0,10721000.0
A350-900,airbus,2001,"62,193 hrs","27,724 cycles",Trent XWB,"2,607 hrs","1,208 cycles",Fresh C-Check,Hourly Inspection,Owned,North America,Yes,Yes,None,Good,325 seats,1 ADs,27,71.8,"3,872 kg/hr",36275000.0,34086000.0,33820000.0
A330-300,AIRBUS,2014,"23,573 hrs","8,911 cycles",PW4000,136 hrs,62 cycles,Fresh D-Check,MSG-3,Owned,North America,Yes,No,Major,Fair,277 seats,2 ADs,48,50.2,"3,318 kg/hr",55556000.0,44658000.0,48234000.0
E175,embraer,2013,"27,135 hrs","17,581 cycles",CF34-8E,"1,719 hrs",764 cycles,Fresh C-Check,Hourly Inspection,Owned,Middle East,Yes,No,Minor,Excellent,76 seats,0 ADs,10,53.5,"1,168 kg/hr",17081000.0,16274000.0,16036000.0
CRJ900,Bombardier,2014,"34,677 hrs","18,644 cycles",CF34-8C5,"6,158 hrs","2,595 cycles",C-Check Due,MSG-3,On Lease,Africa,Yes,Yes,Major,Good,76 seats,Not Reported,3,37.1,"3,132 kg/hr",11769000.0,9759000.0,9997000.0
A320-200,airbus,2022,"7,860 hrs","2,775 cycles",CFM56-5B,"4,502 hrs","2,486 cycles",Fresh D-Check,MSG-3,Off Lease,Europe,Yes,No,None,Excellent,180 seats,2 ADs,10,75.1,"2,277 kg/hr",55960000.0,48243000.0,45403000.0
A350-900,airbus,2017,"17,846 hrs","7,886 cycles",Trent XWB,"4,948 hrs","2,260 cycles",Fresh C-Check,MSG-3,On Lease,Africa,No,No,None,Fair,325 seats,2 ADs,23,56.0,"1,859 kg/hr",114562000.0,96684000.0,104216000.0
747-8F,BOEING,2021,"12,117 hrs","10,368 cycles",GEnx-2B,"2,886 hrs","1,227 cycles",C-Check Due,MSG-3,On Lease,Europe,No,No,None,Good,Freighter (0 seats),2 ADs,31,75.9,"4,628 kg/hr",155673000.0,128268000.0,135488000.0
737 MAX 8,boeing,2014,"19,847 hrs","15,316 cycles",LEAP-1B,"7,695 hrs","5,485 cycles",Fresh C-Check,MSG-3,On Lease,Asia-Pacific,No,Yes,None,Good,178 seats,Not Reported,44,32.5,900 kg/hr,33747000.0,29702000.0,29482000.0
A320-200,airbus,2001,"62,430 hrs","45,773 cycles",V2500,"3,657 hrs","2,058 cycles",Fresh C-Check,MSG-3,Off Lease,Europe,Yes,Yes,None,Fair,180 seats,0 ADs,5,13.2,"3,962 kg/hr",8109000.0,9254000.0,9315000.0
E175,embraer,2015,"29,653 hrs","15,578 cycles",CF34-8E,"3,914 hrs","1,649 cycles",C-Check Due,Hourly Inspection,On Lease,North America,No,No,None,Good,76 seats,2 ADs,12,71.5,"2,690 kg/hr",17267000.0,18036000.0,16344000.0
ATR 72-600,ATR,2018,"21,102 hrs","12,575 cycles",PW127M,"7,794 hrs","3,693 cycles",C-Check Due,MSG-3,On Lease,North America,Yes,Yes,None,Excellent,70 seats,2 ADs,34,65.5,"2,671 kg/hr",20768000.0,16885000.0,16393000.0
CRJ900,Bombardier,2002,"78,961 hrs","52,466 cycles",CF34-8C5,"4,749 hrs","2,191 cycles",Fresh D-Check,MSG-3,On Lease,Middle East,No,Yes,None,Good,76 seats,2 ADs,3,43.0,"2,611 kg/hr",5185000.0,5989000.0,6609000.0
777-300ER,Boeing,2011,"36,781 hrs","26,635 cycles",GE90-115B,"2,732 hrs","1,221 cycles",C-Check Due,OEM Managed,Off Lease,Middle East,Yes,No,None,Good,396 seats,2 ADs,18,70.8,"1,665 kg/hr",51700000.0,53178000.0,56026000.0
A330-300,airbus,2013,"31,022 hrs","21,906 cycles",CF6-80E1,"7,828 hrs","5,232 cycles",Fresh C-Check,MSG-3,On Lease,North America,No,No,None,Good,277 seats,1 ADs,4,63.1,"2,218 kg/hr",62484000.0,52221000.0,51813000.0
777-300ER,BOEING,2007,"43,825 hrs","27,318 cycles",GE90-115B,882 hrs,493 cycles,C-Check Due,MSG-3,On Lease,Latin America,Yes,No,None,Good,396 seats,4 ADs,43,43.8,"3,972 kg/hr",41533000.0,41468000.0,39638000.0
A320-200,AIRBUS,2013,"37,182 hrs","16,323 cycles",V2500,"4,703 hrs","2,029 cycles",C-Check Due,Hourly Inspection,On Lease,North America,No,No,None,Fair,180 seats,3 ADs,16,44.8,"2,603 kg/hr",22090000.0,19387000.0,20013000.0
A320neo,airbus,2016,"22,349 hrs","15,268 cycles",LEAP-1A,"4,073 hrs","1,706 cycles",Fresh C-Check,MSG-3,Owned,Asia-Pacific,No,Yes,None,Good,180 seats,0 ADs,55,85.8,"3,226 kg/hr",33558000.0,37597000.0,37308000.0
787-9,boeing,2015,"24,955 hrs","15,005 cycles",GEnx-1B,"1,764 hrs",821 cycles,C-Check Due,OEM Managed,Owned,Latin America,No,No,None,Good,296 seats,0 ADs,11,19.8,"1,503 kg/hr",78428000.0,64993000.0,72052000.0
ATR 72-600,ATR,2000,"72,542 hrs","39,955 cycles",PW127M,"1,693 hrs",930 cycles,C-Check Due,MSG-3,Owned,North America,No,No,None,Fair,70 seats,2 ADs,19,70.5,"2,629 kg/hr",5351000.0,4326000.0,4611000.0
787-9,boeing,2021,"8,992 hrs","7,999 cycles",Trent 1000,"2,376 hrs","1,638 cycles",Fresh D-Check,Hourly Inspection,On Lease,Africa,No,Yes,None,Excellent,296 seats,0 ADs,29,74.2,"2,053 kg/hr",149966000.0,143315000.0,161932000.0
737-800,BOEING,2018,"21,612 hrs","9,387 cycles",CFM56-7B,"8,008 hrs","5,461 cycles",C-Check Due,MSG-3,On Lease,Africa,Yes,No,Minor,Excellent,189 seats,2 ADs,7,40.7,"1,637 kg/hr",30498000.0,27329000.0,27443000.0
747-8F,Boeing,2010,"37,422 hrs","22,949 cycles",GEnx-2B,"6,537 hrs","4,594 cycles",Fresh D-Check,MSG-3,Off Lease,North America,Yes,Yes,None,Fair,Freighter (0 seats),1 ADs,14,44.9,"4,409 kg/hr",63878000.0,69155000.0,68687000.0
A330-300,airbus,2006,"47,099 hrs","19,608 cycles",Trent 700,"4,732 hrs","2,779 cycles",D-Check Due,Hourly Inspection,On Lease,Asia-Pacific,No,No,None,Good,277 seats,0 ADs,10,42.8,"2,858 kg/hr",29188000.0,27028000.0,26899000.0
737-800,boeing,2019,"15,378 hrs","9,822 cycles",CFM56-7B,"3,158 hrs","1,821 cycles",D-Check Due,Hourly Inspection,Off Lease,Middle East,No,No,None,Fair,189 seats,1 ADs,23,61.2,"2,548 kg/hr",32570000.0,27583000.0,28092000.0
CRJ900,Bombardier,2003,"53,398 hrs","40,700 cycles",CF34-8C5,238 hrs,107 cycles,Fresh D-Check,MSG-3,Owned,Asia-Pacific,No,No,None,Excellent,76 seats,1 ADs,28,44.3,"1,147 kg/hr",8537000.0,7116000.0,7077000.0
747-8F,Boeing,2016,"18,585 hrs","13,768 cycles",GEnx-2B,"1,902 hrs",808 cycles,C-Check Due,MSG-3,Owned,Africa,Yes,Yes,None,Fair,Freighter (0 seats),0 ADs,36,43.8,"2,770 kg/hr",104312000.0,94672000.0,92319000.0
737-800,BOEING,2003,"57,717 hrs","26,122 cycles",CFM56-7B,"7,214 hrs","5,114 cycles",Fresh C-Check,OEM Managed,Owned,Europe,No,No,Major,Good,189 seats,0 ADs,17,43.1,"2,206 kg/hr",7495000.0,8310000.0,8558000.0
A330-300,Airbus,2020,"12,173 hrs","11,925 cycles",Trent 700,"1,608 hrs",945 cycles,Fresh C-Check,Hourly Inspection,Owned,Europe,Yes,No,Minor,Good,277 seats,1 ADs,11,73.2,"1,700 kg/hr",92582000.0,85863000.0,87459000.0
787-9,boeing,2006,"52,121 hrs","26,247 cycles",GEnx-1B,"6,845 hrs","5,084 cycles",Fresh C-Check,MSG-3,Off Lease,Latin America,No,No,Minor,Good,296 seats,2 ADs,48,66.4,"3,729 kg/hr",37016000.0,38203000.0,38011000.0
A330-300,Airbus,1998,"61,676 hrs","30,402 cycles",PW4000,"5,722 hrs","3,836 cycles",Fresh D-Check,MSG-3,On Lease,North America,Yes,No,None,Excellent,277 seats,0 ADs,6,36.9,"1,113 kg/hr",19337000.0,19488000.0,19214000.0
A330-300,airbus,2021,"8,043 hrs","6,092 cycles",PW4000,"6,930 hrs","4,753 cycles",D-Check Due,MSG-3,On Lease,Africa,Yes,No,None,Fair,277 seats,1 ADs,19,62.5,"2,400 kg/hr",83264000.0,73213000.0,73270000.0
787-9,boeing,2007,"42,612 hrs","29,424 cycles",Trent 1000,"2,306 hrs","1,428 cycles",Fresh C-Check,MSG-3,Owned,Africa,No,No,None,Excellent,296 seats,1 ADs,39,62.5,"3,241 kg/hr",53885000.0,51890000.0,48307000.0
A350-900,airbus,1998,"69,265 hrs","45,945 cycles",Trent XWB,"7,686 hrs","3,696 cycles",Fresh C-Check,Hourly Inspection,On Lease,North America,Yes,No,None,Good,325 seats,1 ADs,1,70.1,"1,974 kg/hr",31797000.0,26999000.0,26470000.0
A350-900,Airbus,2021,"10,745 hrs","4,256 cycles",Trent XWB,"7,158 hrs","4,256 cycles",D-Check Due,MSG-3,Owned,Middle East,Yes,Yes,None,Good,325 seats,0 ADs,42,79.3,"2,645 kg/hr",140226000.0,113217000.0,109193000.0
747-8F,BOEING,2016,"29,081 hrs","15,453 cycles",GEnx-2B,"3,605 hrs","1,655 cycles",Fresh C-Check,OEM Managed,Owned,Latin America,Yes,Yes,None,Good,Freighter (0 seats),1 ADs,35,70.2,"3,155 kg/hr",110132000.0,104317000.0,92728000.0
A330-300,Airbus,1998,"54,182 hrs","28,453 cycles",CF6-80E1,"2,332 hrs","1,262 cycles",Fresh D-Check,MSG-3,On Lease,Middle East,No,No,None,Good,277 seats,2 ADs,49,100.0,"3,463 kg/hr",27478000.0,24997000.0,24201000.0
A320neo,AIRBUS,2021,"11,675 hrs","4,466 cycles",PW1100G,"4,349 hrs","3,198 cycles",C-Check Due,MSG-3,Owned,Europe,No,No,None,Good,180 seats,1 ADs,51,48.2,"2,013 kg/hr",44860000.0,45503000.0,44429000.0
737 MAX 8,BOEING,2021,"9,495 hrs","3,721 cycles",LEAP-1B,"7,509 hrs","3,721 cycles",C-Check Due,MSG-3,On Lease,Europe,No,Yes,None,Good,178 seats,2 ADs,1,10.7,"2,364 kg/hr",41266000.0,35646000.0,37633000.0
A320neo,Airbus,1999,"78,682 hrs","52,560 cycles",PW1100G,"6,183 hrs","4,653 cycles",Fresh C-Check,OEM Managed,Off Lease,Africa,Yes,No,None,Good,180 seats,2 ADs,31,51.2,"2,670 kg/hr",8328000.0,10587000.0,10370000.0
A330-300,Airbus,2003,"54,072 hrs","31,900 cycles",CF6-80E1,"7,546 hrs","3,631 cycles",Fresh C-Check,MSG-3,Owned,Europe,Yes,No,None,Excellent,277 seats,2 ADs,24,46.2,"2,540 kg/hr",24875000.0,24474000.0,26425000.0
777-300ER,Boeing,2013,"30,482 hrs","16,363 cycles",GE90-115B,"5,411 hrs","2,345 cycles",C-Check Due,MSG-3,On Lease,Africa,No,No,None,Poor,396 seats,4 ADs,24,47.6,"2,640 kg/hr",63646000.0,48506000.0,51859000.0
ATR 72-600,atr,2000,"58,674 hrs","33,651 cycles",PW127M,"6,151 hrs","3,146 cycles",D-Check Due,MSG-3,Off Lease,Africa,Yes,Yes,None,Good,70 seats,1 ADs,13,33.6,"1,248 kg/hr",5343000.0,3827000.0,4270000.0
A330-300,AIRBUS,2022,"6,919 hrs","2,929 cycles",CF6-80E1,"5,017 hrs","2,925 cycles",D-Check Due,MSG-3,On Lease,North America,No,Yes,None,Fair,277 seats,2 ADs,44,67.3,"2,828 kg/hr",82417000.0,76920000.0,75408000.0
737 MAX 8,BOEING,2019,"15,683 hrs","9,230 cycles",LEAP-1B,"3,847 hrs","2,148 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,No,No,None,Good,178 seats,1 ADs,59,60.8,"3,827 kg/hr",36899000.0,42228000.0,41149000.0
A330-300,Airbus,2012,"50,386 hrs","20,131 cycles",Trent 700,"6,438 hrs","2,943 cycles",Fresh C-Check,MSG-3,Off Lease,Europe,Yes,No,None,Excellent,277 seats,1 ADs,10,68.9,"3,055 kg/hr",49360000.0,43341000.0,45640000.0
A330-300,AIRBUS,1999,"68,819 hrs","42,771 cycles",PW4000,"4,691 hrs","3,206 cycles",C-Check Due,MSG-3,On Lease,Asia-Pacific,Yes,No,None,Excellent,277 seats,0 ADs,25,100.0,"2,605 kg/hr",23513000.0,22974000.0,24231000.0
A320-200,Airbus,2013,"44,591 hrs","24,993 cycles",V2500,"6,237 hrs","3,573 cycles",Fresh C-Check,MSG-3,On Lease,Africa,No,No,None,Fair,180 seats,1 ADs,20,76.3,"2,085 kg/hr",25296000.0,22747000.0,22825000.0
A320-200,airbus,2013,"32,152 hrs","15,529 cycles",CFM56-5B,"6,576 hrs","3,090 cycles",D-Check Due,MSG-3,On Lease,Africa,Yes,Yes,None,Excellent,180 seats,0 ADs,10,94.0,"3,054 kg/hr",26162000.0,24567000.0,25122000.0
737-800,BOEING,2002,"57,601 hrs","37,699 cycles",CFM56-7B,"2,282 hrs","1,024 cycles",Fresh C-Check,MSG-3,Owned,Europe,No,Yes,None,Good,189 seats,2 ADs,22,82.7,"3,579 kg/hr",12430000.0,11728000.0,11383000.0
777-300ER,boeing,2009,"47,043 hrs","20,877 cycles",GE90-115B,"1,056 hrs",691 cycles,Fresh D-Check,MSG-3,On Lease,Asia-Pacific,Yes,Yes,None,Excellent,396 seats,2 ADs,26,51.7,"2,217 kg/hr",60272000.0,53509000.0,54304000.0
E175,embraer,2007,"35,000 hrs","13,243 cycles",CF34-8E,"6,780 hrs","4,009 cycles",Fresh C-Check,OEM Managed,On Lease,Latin America,Yes,No,None,Good,76 seats,0 ADs,5,88.2,"2,495 kg/hr",14526000.0,13222000.0,12641000.0
CRJ900,Bombardier,2013,"43,491 hrs","19,409 cycles",CF34-8C5,"5,397 hrs","2,912 cycles",Fresh C-Check,OEM Managed,Owned,Latin America,No,No,None,Poor,76 seats,2 ADs,14,48.6,"3,351 kg/hr",13599000.0,11027000.0,10240000.0
737-800,boeing,2005,"74,258 hrs","43,427 cycles",CFM56-7B,"7,351 hrs","4,796 cycles",Fresh C-Check,MSG-3,Owned,Middle East,Yes,Yes,Minor,Poor,189 seats,2 ADs,10,32.8,"1,981 kg/hr",11287000.0,9326000.0,8879000.0
737-800,Boeing,2010,"44,627 hrs","22,655 cycles",CFM56-7B,"2,811 hrs","1,288 cycles",C-Check Due,MSG-3,On Lease,Asia-Pacific,Yes,No,None,Good,189 seats,1 ADs,12,49.6,"2,431 kg/hr",17508000.0,17327000.0,15048000.0
A320neo,Airbus,2005,"73,430 hrs","31,763 cycles",PW1100G,"8,917 hrs","3,854 cycles",Fresh C-Check,OEM Managed,Off Lease,Europe,Yes,Yes,None,Excellent,180 seats,1 ADs,7,85.7,950 kg/hr,17934000.0,16147000.0,15914000.0
A320-200,Airbus,2022,"8,367 hrs","3,649 cycles",V2500,"5,390 hrs","2,444 cycles",C-Check Due,MSG-3,Owned,Europe,No,No,None,Fair,180 seats,3 ADs,33,74.0,"2,609 kg/hr",42894000.0,39337000.0,42701000.0
A320neo,airbus,2016,"29,700 hrs","16,292 cycles",PW1100G,788 hrs,576 cycles,Fresh C-Check,Hourly Inspection,On Lease,Asia-Pacific,Yes,No,None,Good,180 seats,2 ADs,1,21.0,"1,882 kg/hr",34209000.0,29766000.0,31627000.0
A320neo,AIRBUS,2002,"73,806 hrs","32,035 cycles",PW1100G,"3,362 hrs","1,455 cycles",Fresh C-Check,MSG-3,On Lease,Africa,Yes,Yes,None,Excellent,180 seats,0 ADs,49,78.8,"3,076 kg/hr",15783000.0,13630000.0,13975000.0
787-9,boeing,2009,"61,955 hrs","40,669 cycles",GEnx-1B,"4,776 hrs","2,201 cycles",C-Check Due,MSG-3,On Lease,Latin America,Yes,No,None,Good,296 seats,4 ADs,43,73.4,"2,956 kg/hr",42961000.0,40442000.0,39591000.0
A330-300,Airbus,2004,"53,729 hrs","35,623 cycles",CF6-80E1,"2,861 hrs","1,881 cycles",C-Check Due,MSG-3,On Lease,Latin America,No,No,None,Excellent,277 seats,0 ADs,53,49.7,"3,344 kg/hr",32993000.0,26453000.0,27821000.0
ATR 72-600,atr,2005,"65,853 hrs","28,712 cycles",PW127M,"7,104 hrs","4,778 cycles",C-Check Due,MSG-3,Off Lease,North America,Yes,Yes,None,Good,70 seats,1 ADs,11,53.9,"2,241 kg/hr",6410000.0,5705000.0,5278000.0
747-8F,Boeing,2020,"11,106 hrs","5,463 cycles",GEnx-2B,"4,601 hrs","3,005 cycles",D-Check Due,MSG-3,Owned,Latin America,No,No,None,Excellent,Freighter (0 seats),2 ADs,36,56.3,"3,974 kg/hr",105780000.0,108916000.0,99155000.0
737-800,boeing,2014,"33,088 hrs","13,814 cycles",CFM56-7B,"2,690 hrs","1,604 cycles",D-Check Due,MSG-3,Owned,North America,No,No,None,Good,189 seats,0 ADs,8,50.6,900 kg/hr,21250000.0,18915000.0,20688000.0
CRJ900,bombardier,2018,"15,024 hrs","9,029 cycles",CF34-8C5,"4,416 hrs","2,602 cycles",C-Check Due,MSG-3,On Lease,North America,No,Yes,None,Fair,76 seats,1 ADs,49,62.6,"2,158 kg/hr",19181000.0,18871000.0,21499000.0
A330-300,AIRBUS,2022,"8,509 hrs","3,447 cycles",PW4000,"6,503 hrs","2,813 cycles",Fresh D-Check,MSG-3,On Lease,Middle East,No,No,Minor,Good,277 seats,2 ADs,37,56.0,"1,939 kg/hr",86105000.0,97903000.0,89020000.0
A320-200,AIRBUS,2011,"41,682 hrs","22,756 cycles",CFM56-5B,"3,443 hrs","2,123 cycles",Fresh C-Check,MSG-3,On Lease,Latin America,Yes,Yes,None,Fair,180 seats,2 ADs,1,70.7,"2,670 kg/hr",24765000.0,21651000.0,21918000.0
737 MAX 8,Boeing,2001,"85,354 hrs","62,483 cycles",LEAP-1B,"8,354 hrs","6,065 cycles",Fresh D-Check,OEM Managed,Off Lease,Africa,Yes,No,None,Excellent,178 seats,2 ADs,22,67.3,"1,817 kg/hr",13003000.0,11467000.0,10615000.0
ATR 72-600,ATR,2017,"19,396 hrs","14,384 cycles",PW127M,"4,782 hrs","1,995 cycles",Fresh C-Check,Hourly Inspection,On Lease,Latin America,No,Yes,None,Fair,70 seats,2 ADs,37,75.6,"2,552 kg/hr",17942000.0,17098000.0,17938000.0
A320-200,Airbus,2019,"13,745 hrs","7,402 cycles",V2500,"2,358 hrs","1,496 cycles",D-Check Due,MSG-3,On Lease,Latin America,Yes,Yes,None,Good,180 seats,3 ADs,45,44.9,"3,666 kg/hr",36728000.0,31183000.0,30002000.0
787-9,Boeing,2019,"18,981 hrs","8,378 cycles",GEnx-1B,"4,241 hrs","2,003 cycles",Fresh C-Check,MSG-3,Owned,North America,Yes,No,None,Fair,296 seats,2 ADs,41,48.7,"1,984 kg/hr",91847000.0,96615000.0,95912000.0
ATR 72-600,atr,2016,"27,347 hrs","14,932 cycles",PW127M,546 hrs,401 cycles,Fresh D-Check,MSG-3,Owned,North America,Yes,Yes,None,Fair,70 seats,1 ADs,41,55.8,"2,230 kg/hr",21344000.0,15383000.0,15136000.0
CRJ900,bombardier,2021,"10,250 hrs","8,574 cycles",CF34-8C5,209 hrs,125 cycles,C-Check Due,MSG-3,On Lease,Africa,No,Yes,None,Good,76 seats,3 ADs,55,66.7,"1,956 kg/hr",24790000.0,21150000.0,25358000.0
E175,Embraer,2015,"21,649 hrs","10,860 cycles",CF34-8E,"5,163 hrs","3,679 cycles",C-Check Due,MSG-3,Owned,Middle East,Yes,Yes,None,Excellent,76 seats,2 ADs,43,47.8,"4,513 kg/hr",20530000.0,17155000.0,16778000.0
E175,Embraer,2008,"47,569 hrs","22,825 cycles",CF34-8E,"2,679 hrs","1,149 cycles",C-Check Due,MSG-3,On Lease,Asia-Pacific,No,Yes,None,Fair,76 seats,3 ADs,47,58.7,"3,141 kg/hr",11069000.0,9574000.0,9665000.0
737-800,boeing,2012,"41,149 hrs","19,707 cycles",CFM56-7B,"8,928 hrs","4,268 cycles",Fresh D-Check,MSG-3,On Lease,Europe,No,Yes,Minor,Good,189 seats,2 ADs,24,78.7,"2,397 kg/hr",21963000.0,20252000.0,22765000.0
A330-300,AIRBUS,2010,"63,211 hrs","41,631 cycles",CF6-80E1,"6,756 hrs","3,447 cycles",Fresh C-Check,Hourly Inspection,On Lease,Europe,Yes,Yes,None,Good,277 seats,1 ADs,35,62.1,"1,486 kg/hr",42358000.0,33081000.0,31123000.0
747-8F,Boeing,2018,"13,230 hrs","8,564 cycles",GEnx-2B,"7,455 hrs","4,653 cycles",C-Check Due,MSG-3,On Lease,Europe,Yes,No,Minor,Good,Freighter (0 seats),1 ADs,18,41.8,"4,544 kg/hr",91977000.0,99582000.0,97922000.0
A320-200,AIRBUS,2020,"12,062 hrs","6,151 cycles",V2500,"2,267 hrs",950 cycles,Fresh C-Check,OEM Managed,Off Lease,Asia-Pacific,Yes,Yes,None,Fair,180 seats,Not Reported,1,57.2,"2,758 kg/hr",36877000.0,38972000.0,38463000.0
CRJ900,Bombardier,2015,"31,773 hrs","21,572 cycles",CF34-8C5,"2,592 hrs","1,775 cycles",C-Check Due,OEM Managed,On Lease,Europe,Yes,No,None,Good,76 seats,2 ADs,4,43.9,"2,712 kg/hr",16052000.0,13763000.0,12922000.0
A320neo,AIRBUS,2011,"38,405 hrs","25,789 cycles",PW1100G,"5,430 hrs","2,836 cycles",Fresh C-Check,MSG-3,On Lease,North America,No,No,None,Good,180 seats,2 ADs,7,81.5,"1,788 kg/hr",34451000.0,25584000.0,25583000.0
A330-300,Airbus,2010,"44,828 hrs","27,834 cycles",PW4000,"1,637 hrs",707 cycles,D-Check Due,MSG-3,On Lease,Africa,Yes,No,None,Fair,277 seats,2 ADs,30,31.9,"2,558 kg/hr",34004000.0,30090000.0,32246000.0
777-300ER,boeing,2014,"38,252 hrs","26,308 cycles",GE90-115B,"7,944 hrs","4,140 cycles",Fresh C-Check,Hourly Inspection,On Lease,Latin America,Yes,Yes,None,Good,396 seats,0 ADs,21,51.7,"2,765 kg/hr",54099000.0,65400000.0,67673000.0
CRJ900,Bombardier,2001,"71,082 hrs","48,110 cycles",CF34-8C5,"1,146 hrs",601 cycles,D-Check Due,MSG-3,Owned,North America,Yes,No,None,Good,76 seats,Not Reported,42,47.0,"2,061 kg/hr",4872000.0,4855000.0,4704000.0
747-8F,BOEING,2010,"27,543 hrs","17,802 cycles",GEnx-2B,"1,499 hrs","1,105 cycles",Fresh C-Check,OEM Managed,On Lease,Middle East,Yes,No,None,Poor,Freighter (0 seats),0 ADs,1,79.9,"1,398 kg/hr",83703000.0,77062000.0,80437000.0
737 MAX 8,boeing,1998,"83,675 hrs","59,490 cycles",LEAP-1B,"5,049 hrs","2,589 cycles",Fresh C-Check,MSG-3,Owned,Latin America,Yes,No,None,Good,178 seats,Not Reported,35,24.7,"1,608 kg/hr",8573000.0,8537000.0,8098000.0
A320neo,Airbus,2010,"30,237 hrs","20,231 cycles",PW1100G,"8,619 hrs","4,384 cycles",C-Check Due,Hourly Inspection,Off Lease,Africa,No,Yes,None,Fair,180 seats,0 ADs,36,43.5,"3,954 kg/hr",21621000.0,21819000.0,21519000.0
ATR 72-600,atr,2020,"17,078 hrs","7,447 cycles",PW127M,"1,724 hrs",729 cycles,Fresh C-Check,Hourly Inspection,On Lease,North America,Yes,No,None,Good,70 seats,0 ADs,2,28.0,"3,811 kg/hr",16714000.0,18691000.0,18459000.0
ATR 72-600,ATR,2022,"5,555 hrs","3,832 cycles",PW127M,"3,293 hrs","1,574 cycles",C-Check Due,MSG-3,Owned,Europe,Yes,Yes,None,Fair,70 seats,0 ADs,16,47.9,"1,068 kg/hr",25600000.0,20753000.0,19264000.0
A320neo,Airbus,2019,"21,740 hrs","11,577 cycles",LEAP-1A,"4,777 hrs","2,674 cycles",D-Check Due,OEM Managed,Owned,Europe,No,Yes,None,Good,180 seats,1 ADs,25,34.1,"1,004 kg/hr",32854000.0,30322000.0,30496000.0
A350-900,AIRBUS,2019,"14,982 hrs","5,858 cycles",Trent XWB,"6,349 hrs","3,809 cycles",Fresh C-Check,MSG-3,Off Lease,North America,Yes,No,Minor,Good,325 seats,1 ADs,48,54.5,"2,972 kg/hr",110644000.0,101321000.0,97721000.0
737 MAX 8,Boeing,2015,"35,701 hrs","13,896 cycles",LEAP-1B,"6,001 hrs","3,716 cycles",C-Check Due,MSG-3,On Lease,Middle East,Yes,No,None,Excellent,178 seats,1 ADs,59,63.4,"2,141 kg/hr",27864000.0,26452000.0,28113000.0
A350-900,Airbus,2010,"36,491 hrs","20,250 cycles",Trent XWB,"5,993 hrs","3,804 cycles",C-Check Due,MSG-3,On Lease,Africa,No,No,None,Fair,325 seats,1 ADs,52,30.0,"3,836 kg/hr",49115000.0,47252000.0,51021000.0
